Name: Odin|63E6C2B6-4A8E-869C-3D4C-E38355226584:ID
Name: Immortalized Vandal|D980C0C8-492B-B8DF-2D91-AF99A7707170:ID
Name: RGX 11z Pro Vandal|E5490F71-455B-74AD-F762-F5A876D4DFF9:ID
Name: Altitude Vandal|C97CD8A3-44EF-8425-5BF6-11BF72128606:ID
Name: VALORANT GO! Vol. 2 Vandal|BA6F2526-4ED2-8E62-49AA-EBBB04290682:ID
Name: Araxys Vandal|4C926AA9-4F26-BC80-C486-9B888333373F:ID
Name: Neptune Vandal|DB91451C-4309-2C8C-EDED-BF842D844E52:ID
Name: Aristocrat Vandal|6191BB0B-456F-1A3E-DF13-CDB0C1B8B1E4:ID
Name: Gaia's Vengeance Vandal|000AD7B1-44B0-9345-EA47-9CBD7DCDBB38:ID
Name: Endeavour Vandal|D3733BFE-48D7-B119-3195-249D3B46B528:ID
Name: Champions 2021 Vandal|9BF19B77-4B33-7203-9F2C-16932970622F:ID
Name: Origin Vandal|6C4315B8-4FF1-BAAA-5AAC-5790C7443353:ID
Name: Starlit Odyssey Vandal|FFB65A92-4654-A7F8-1908-BF9BB18995A3:ID
Name: Glitchpop Vandal|74789F33-4632-8052-96D7-258538721A32:ID
Name: ChronoVoid Vandal|8E762A1F-4102-B7CE-D6A0-9690C5BFE160:ID
Name: Prelude to Chaos Vandal|522A264E-4CA7-ADB0-6CF1-28B2EF938727:ID
Name: Elderflame Vandal|18609205-4EDB-5966-CFF8-0FBA0230BA1E:ID
Name: Sarmad Vandal|5B6B1EEE-4185-8F83-9374-3391D0F0F742:ID
Name: Nitro Vandal|9B62FAF1-416C-B736-0EDB-39B890F1F18D:ID
Name: Hivemind Vandal|F7F63B78-4B12-B21E-A0E7-6BAFBAD81509:ID
Name: Venturi Vandal|5A658084-453F-E971-5DEF-2BB9CF6E5E90:ID
Name: Forsaken Vandal|437307C6-424C-6A48-9738-949B91166353:ID
Name: Team Ace Vandal|25980352-4407-60FF-EB27-058C1EA696CC:ID
Name: Ruin Vandal|948D31A0-4C2A-9C82-2B89-FE9F2EC65036:ID
Name: .EXE Vandal|6F3A2A08-4F32-DBDC-8DCA-628A5C840052:ID
Name: .SYS Vandal|23D61DBB-457A-5590-2E91-38A67A52C332:ID
Name: Horizon Vandal|9D71EDB0-453C-DEFA-507D-57AA2935B379:ID
Name: Prime Vandal|B9EE2457-481C-6776-3F5B-0CA8E8F90C89:ID
Name: Avalanche Vandal|41B55C92-4AEB-9C86-854A-4ABCD48EA0BA:ID
Name: Black.Market Vandal|A810EC6B-46E7-767D-7186-2CBE49E7FE1B:ID
Name: Prism II Vandal|A383091D-4C7A-EB6D-0F45-E78232EDE644:ID
Name: K/TAC Vandal|11A93854-44F0-BD66-F434-3F81744DDD8D:ID
Name: Monstrocity Vandal|B3A65992-469C-BAB8-736E-49BBDA91C650:ID
Name: Nunca Olvidados Vandal|6460E252-48EF-8312-6F4F-2CB5F1B56972:ID
Name: Luxe Vandal|30FD16AF-4560-B2E2-7780-EE8148A0946A:ID
Name: Silvanus Vandal|D758ABC0-4D99-62D3-B22B-0DB0E57DE881:ID
Name: Crimsonbeast Vandal|8B688DE6-42D3-9430-8F38-32B0B3D1C2C6:ID
Name: Ion Vandal|596CE51D-40E3-DC21-B02D-B08D070A7883:ID
Name: Oni Vandal|7156C2EE-41FC-F8F4-D457-EBB287965C08:ID
Name: Cryostasis Vandal|F328ADD7-4710-AB8D-95BB-409BC8278A35:ID
Name: Luna Vandal|04D8CC84-468A-B696-85AE-A193077838ED:ID
Name: Sensation Vandal|72C1E90B-40CA-4304-02EB-28BB2AEA4ED2:ID
Name: Random Favorite Skin|9C808029-48F5-CE89-21C5-88BF4228D2ED:ID
Name: Sentinels of Light Vandal|E8DF3725-40DE-B8EC-77BD-62A989685A85:ID
Name: Sakura Vandal|F946EF5C-46AB-E146-A712-1D99A1651356:ID
Name: Schema Vandal|9A6C6DB7-4F56-12D6-8339-6386F12090E8:ID
Name: Lycan's Bane Vandal|6B58163F-4426-8ABF-8F55-F79E3A2045DF:ID
Name: Reaver Vandal|30388628-42F0-606C-82C0-73AD43DE997F:ID
Name: Tethered Realms Vandal|F2B034E0-4B54-5ABC-25C8-D293B6F1D247:ID
Name: Cavalier Vandal|1EB7639F-4E90-5B5B-9F53-A792103D6F29:ID
Name: Titanmail Vandal|E8DC658B-4C7C-2338-FACD-7D8D2813560A:ID
Name: Standard Vandal|27F21D97-4C4B-BD1C-1F08-31830AB0BE84:ID
Name: Depths Vandal|F2871246-441C-5F41-3DAC-13947139ADEC:ID
Name: Ego Vandal|8C22A4B2-4DA0-F2F2-9BD1-C89D106CD646:ID
Name: Wasteland Vandal|32B87592-45AD-C5A6-44AE-A9B844137C58:ID
Name: Winterwunderland Vandal|16716D68-4D36-320F-AAFD-F6A6BFA5ABE2:ID
Name: Bulldog|AE3DE142-4D85-2547-DD26-4E90BED35CF7:ID
Name: Araxys Bulldog|26D0C312-46C2-1912-302A-B7B8F62640CA:ID
Name: Radiant Entertainment System Bulldog|E8BF5459-4789-F9BD-BFD1-C5BCAFEC96A6:ID
Name: Aristocrat Bulldog|C610DBC8-4A90-3C86-7F9E-BFA910F75BB9:ID
Name: Endeavour Bulldog|3F8BE578-4E47-8AFD-1E6C-CB9BB326E8B5:ID
Name: Spectrum Bulldog|FBE04552-445F-F202-923E-6FBD61B7E2AA:ID
Name: Striker Bulldog|9C056543-44AF-0D36-D0F7-1196D93D264E:ID
Name: Rune Stone Bulldog|8594C025-4C96-E258-13DA-53A2F747BCA2:ID
Name: Undercity Bulldog|4BE8D0E7-48E0-EAA3-1DB4-85A14094F369:ID
Name: Glitchpop Bulldog|285C6731-4451-B930-7A3D-C5A736D00F5E:ID
Name: Rush Bulldog|23399BEB-4828-0D03-AE24-AAA62B08F796:ID
Name: Velocity Bulldog|706DCACC-432B-47E5-3CF7-2DB432A8AFE6:ID
Name: Shimmer Bulldog|CC8AD3B2-4B0F-6E8D-EAE0-C98CC55D002F:ID
Name: Horizon Bulldog|E931DCC8-48D4-F895-48B1-199EC573625B:ID
Name: Black.Market Bulldog|1CBBDD73-4B22-4FAA-ACD0-0A9D6EA1963F:ID
Name: Bound Bulldog|0F992024-4C40-2EAD-311A-79BC37E5E61B:ID
Name: K/TAC Bulldog|F476843A-4FC1-32A1-5E32-C18B84003460:ID
Name: Couture Bulldog|199B8536-488A-09E6-8592-FF9CF21B4CEB:ID
Name: Nunca Olvidados Bulldog|9C91E507-4241-33D1-C63A-AEB9EC3D9D03:ID
Name: Genesis Bulldog|90E750E8-4A42-F5FC-9160-3EA5E5522C6E:ID
Name: Oni Bulldog|325D2274-487B-8672-84D6-6DB8E9798447:ID
Name: Cryostasis Bulldog|D832F94C-4490-176E-C625-C3A1130CEA19:ID
Name: Hue Shift Bulldog|C2F87E28-4C3B-5DC3-0109-FFA3A0E43F4C:ID
Name: POLYfox Bulldog|DBF7B813-4931-3B45-DB2B-EA8D418B2B1D:ID
Name: Protocol 781-A Bulldog|1DAEFBFF-4581-AEF3-5ED6-DA894D7E4CC7:ID
Name: Premiere Collision Bulldog|FBF8CA06-41C9-6293-24CC-B6B292DB5CF7:ID
Name: Random Favorite Skin|7BAA9F5A-4AC3-804A-2E47-4DA916DE0B79:ID
Name: Infinity Bulldog|DECD0962-453A-1551-47E1-1287AAFB5A27:ID
Name: Standard Bulldog|724A7F42-4315-ECCF-0E76-77BDD3EC2E09:ID
Name: Tilde Bulldog|006D6B0A-47BA-A909-ADE5-0CBA66DD5829:ID
Name: Gridcrash Bulldog|0C0CBD13-4601-E6C1-0180-2181E2461C36:ID
Name: Convex Bulldog|F580899D-49C4-8BF8-9718-C9A6A38DD503:ID
Name: Depths Bulldog|4E6341F9-4851-603D-DAFF-9185F007D3DC:ID
Name: Varnish Bulldog|9BBA8D9A-461E-9783-FCB7-F1A92192FB3A:ID
Name: Phantom|EE8E8D15-496B-07AC-E5F6-8FAE5D4C7B1A:ID
Name: Task Force 809 Phantom|3D71065E-4F0B-19A8-26D5-129CDDEB013B:ID
Name: RGX 11z Pro Phantom|499ACF05-4F79-E345-3714-57BF7AA163EA:ID
Name: Xenohunter Phantom|FAC0CEA1-45A9-1549-C120-AF8F0150E562:ID
Name: VALORANT GO! Vol. 1 Phantom|0ACBABBE-4F4C-F643-284B-F69029ABB54E:ID
Name: Radiant Entertainment System Phantom|4EB45D71-4FA4-BE4F-7409-CF92123F1D22:ID
Name: Spectrum Phantom|980FA063-436E-E51F-C38D-70A5B93A0F1C:ID
Name: Piedra del Sol Phantom|D556B1C2-46FA-FCA4-0516-5C887FD2352A:ID
Name: Champions 2022 Phantom|8C72AE0B-4357-1A75-AD62-FBAEC7B64F92:ID
Name: Radiant Crisis 001 Phantom|2371D9E1-498C-1AD1-4F10-D1A339C7FDA2:ID
Name: Nebula Phantom|57F91D68-4CDA-76C0-C258-7BA507CD6F87:ID
Name: Undercity Phantom|ED3AC995-4FD1-3079-27AA-4AAB84447833:ID
Name: Glitchpop Phantom|25A7F0F2-4BCE-7E45-B4B0-CA9264F5DFCC:ID
Name: ChronoVoid Phantom|2AAC8BB3-4CFA-B806-21E4-5A8E9904CAA4:ID
Name: Abyssal Phantom|2D1472FD-458C-515A-C4E4-CEAA50C84187:ID
Name: Doodle Buds Phantom|3A091315-4E87-31D5-7CDB-27804A177FD2:ID
Name: Singularity Phantom|5EEC4CE6-443D-E9B5-4C5B-2B967D426BD3:ID
Name: Sarmad Phantom|CD07BA8F-4DAE-0410-582E-71ACDEF102CE:ID
Name: Rush Phantom|8DB507B5-4D57-96E0-000E-2D8C8AF79550:ID
Name: Velocity Phantom|A17D4EEB-46E5-A041-AE7B-A2841AC6B36E:ID
Name: Team Ace Phantom|F7A779DB-4835-6561-CE1A-D1921A24DE46:ID
Name: Topotek Phantom|D34EDAFC-4E48-B2D7-6163-08BF054D3D80:ID
Name: Soulstrife Phantom|98C9BC4E-4FB3-206F-3F6B-06A17B53E95B:ID
Name: Prime//2.0 Phantom|44B7B110-46BF-CCBB-2613-29A5DF296461:ID
Name: Avalanche Phantom|C38DCED0-454D-D296-522E-6F8643DECD3B:ID
Name: Bound Phantom|2F1DA068-4779-D711-85AE-90840F0E38FA:ID
Name: Prism Phantom|6586A7DB-4041-6A29-F37C-D6817657CAA5:ID
Name: Serenity Phantom|A903E567-480F-A3F9-ADB8-1DA714A2D63C:ID
Name: Ruination Phantom|5B43D27B-419C-F2BC-53FE-D7829DAD46B3:ID
Name: Kingdom Phantom|E13AFE1E-4734-2094-FEE8-9DB016E4D54A:ID
Name: Kohaku & Matsuba Phantom|8F82CFF0-44B9-B792-8DD2-B2BE8538421B:ID
Name: Smite Phantom|8D3EAD4A-4421-F1F2-4292-ECAC859FC135:ID
Name: Celestial Phantom|8C0CC1E8-4C1B-20A0-122D-16B4334D1B80:ID
Name: Spline Phantom|13F553A1-4124-7C29-05E9-E7932FDEABB6:ID
Name: Minima Phantom|2E3538F1-450F-CFE6-F93E-73862CD39314:ID
Name: Galleria Phantom|41892314-4A99-0048-1838-E38CD680EA26:ID
Name: Silvanus Phantom|25824735-478D-30B7-8FC9-95B1999F9D3B:ID
Name: Ion Phantom|E86BF7E4-4DD3-FBEE-533B-FA875344BBAF:ID
Name: Oni Phantom|36791B03-452D-8DAD-0091-898CC28D2196:ID
Name: 9 Lives Phantom|762ACA85-4BF4-73A5-932A-2AA8407C31B3:ID
Name: Hue Shift Phantom|3A204DA4-4AA4-D02F-73A0-55867BC8D501:ID
Name: Aero Phantom|56F075B7-4171-A977-90AC-D5AD786F1478:ID
Name: Artisan Phantom|909DAEA4-49AB-7B99-46FB-AA8C9E6FD837:ID
Name: Protocol 781-A Phantom|9877D50B-43B1-837A-802A-BF8A3B98E2DD:ID
Name: Lightwave Phantom|29665396-4DC8-C409-5E38-228949690F1E:ID
Name: Random Favorite Skin|FFF73AD4-4D46-A6D9-43F1-51B633845434:ID
Name: Snowfall Phantom|A74F77FD-4E69-F16E-B1EB-CEB5198F423D:ID
Name: Reaver Phantom|044B28BA-4C3B-D315-140D-D9A249DA5567:ID
Name: Recon Phantom|D67B929F-4431-61C0-286E-3EBF3D11C4AF:ID
Name: Infinity Phantom|1F835677-4ED7-FEC2-6B80-C3AC384323F6:ID
Name: Reverie Phantom|FB86D3B7-45F2-6A97-C468-51AB29CB4A04:ID
Name: Standard Phantom|337CB216-4A6E-D85D-88C2-F29AB317784C:ID
Name: Tigris Phantom|E0CF9566-452C-1501-43B1-778E69C60DBF:ID
Name: BlastX Phantom|59AF9C5D-43EE-1360-F3A7-A9A6FF6E478B:ID
Name: Winterwunderland Phantom|A5C64455-4FD0-9207-FC97-E086AF99A2A6:ID
Name: Judge|EC845BF4-4F79-DDDA-A3DA-0DB3774B2794:ID
Name: Piedra del Sol Judge|D7717613-4EF6-B314-6A95-9E8A1EE603BF:ID
Name: Undercity Judge|E413125E-40C6-CCCD-DE35-F28E34C57442:ID
Name: Glitchpop Judge|28A659A4-439E-FCD0-6236-D39979EE5C51:ID
Name: ChronoVoid Judge|4D2EC3F4-446E-A501-74D8-5AB750F50984:ID
Name: Elderflame Judge|0221B120-444B-6D1B-FC50-E4A98E470EB2:ID
Name: Rush Judge|F6DB3976-4C70-C3BF-01F8-DCA6D335319A:ID
Name: Team Ace Judge|FDF7FEF7-43DB-9409-BE4C-44BC0B5084F6:ID
Name: Shimmer Judge|CE38C32D-43E6-E840-3981-668454383E22:ID
Name: .EXE Judge|FBD23FDF-4D7B-8A50-AFA5-C3AD6E7266E5:ID
Name: Goldwing Judge|37735CF0-4C4F-6EFD-6222-8582622D68A0:ID
Name: Hydrodip Judge|3D8F9C7D-4259-4710-1F94-0FBC4F25035C:ID
Name: Outpost Judge|400D71B1-4090-6ABF-224E-21938569FE24:ID
Name: Bound Judge|1C7E4522-49F7-4125-A7CA-1F8C943C804E:ID
Name: Prism III Judge|1FC3F066-4211-D65A-42AB-B287C6BB2448:ID
Name: Serenity Judge|3A1C857A-4671-0667-8EFE-EE90B8BA1E5A:ID
Name: Kohaku & Matsuba Judge|DA3CEDEA-4F2E-C501-EC79-438433FFABDF:ID
Name: Smite Judge|5324BC65-44AA-1A16-EDE4-0E9B56F35D0E:ID
Name: Iridian Thorn Judge|0CBA5A5F-41AB-ED7D-158E-4FB92AB25C47:ID
Name: Celestial Judge|57AD1E5D-4289-4DE0-7926-899CEF10DB37:ID
Name: Luxe Judge|5237CFCA-4D83-6190-A7F9-D2BDC117EA67:ID
Name: Coalition: Cobra Judge|0B8816A2-42AD-9353-C591-F7863981D7FE:ID
Name: Crimsonbeast Judge|5E342C5C-4757-4C4E-CA7C-A4B97930308B:ID
Name: POLYfox Judge|5D217DD0-4F2C-CFCA-274E-3F8F9D518B13:ID
Name: Divine Swine Judge|A913D712-4C29-D7F4-0F8A-D790E023BA3C:ID
Name: Jigsaw Judge|BA93A991-407F-0C47-2D26-72A4196B4164:ID
Name: Sensation Judge|8E27A0B3-4DC9-E2A7-E33A-29A616EFC244:ID
Name: Random Favorite Skin|68F2E92E-4C94-8104-ED99-03925BBC71E8:ID
Name: Snowfall Judge|A07941D7-42DC-5083-97A1-AF850CA6FA26:ID
Name: Standard Judge|ACD26127-48FF-8B9E-7BA6-B989AF8A4B24:ID
Name: Tilde Judge|91CEA710-495B-FD95-9E7A-6C928A0C5449:ID
Name: Gridcrash Judge|4B77BE03-4410-1AC5-0B9E-82B326CD990F:ID
Name: Convex Judge|03751FA0-46DB-0DF3-B8CB-99ADF373ECDA:ID
Name: Varnish Judge|87591A69-47C1-A052-BA85-33A8097A0B07:ID
Name: Bucky|910BE174-449B-C412-AB22-D0873436B21B:ID
Name: Altitude Bucky|613152C2-47CF-BE72-9B45-B6958117B220:ID
Name: Xenohunter Bucky|0666931C-4580-EFD0-AF47-AFB9F2F72E55:ID
Name: Piedra del Sol Bucky|001E4CE2-4B30-8203-365A-828E2E3A5826:ID
Name: Origin Bucky|96495EB3-40DB-CB5B-1C69-17A3DDE58EE3:ID
Name: Radiant Crisis 001 Bucky|31072CDA-4041-B4F0-119A-3692EA598321:ID
Name: Red Alert Bucky|1322A9A8-49AD-BC3A-2319-FB866E21334C:ID
Name: Surge Bucky|AA6162A5-4C73-1C6F-5C69-9B9082E321FD:ID
Name: Topotek Bucky|4A1D582D-4C3B-6595-57B6-E3B2CF0EE543:ID
Name: .SYS Bucky|82204CF0-4A3D-2802-6EB9-9EAC53472A3F:ID
Name: Horizon Bucky|D493BEC2-4E3F-19CD-8363-B1921489413C:ID
Name: Monarch Bucky|8F26C1E0-46B7-72D2-8307-11B03F3332F2:ID
Name: Hydrodip Bucky|50B0DB3D-46A9-5C2F-2E57-7FBEEDF30362:ID
Name: Prime//2.0 Bucky|89EEBDB1-4DF6-0A1D-8988-F495CCA4BADB:ID
Name: Prism II Bucky|A6B07D50-4731-2775-042E-A896CB51BF13:ID
Name: Kingdom Bucky|75E55415-45CE-B48B-B471-84BEF2368E33:ID
Name: Iridian Thorn Bucky|D95FE9CC-4B39-6F54-1912-D796B5912481:ID
Name: Magepunk Bucky|5AC14AEF-41CC-A0C8-895F-E1A69B33AEFF:ID
Name: Galleria Bucky|2A0700DC-4181-AE19-2B49-818B24DCEACB:ID
Name: Genesis Bucky|DAF3C0D8-4C6F-23C0-20CC-96B0386B548F:ID
Name: Ion Bucky|31F6F214-4379-749A-9285-04A5561E2D03:ID
Name: Oni Bucky|7DA96A2A-43CE-91C2-28F9-0C95529D133E:ID
Name: Artisan Bucky|1A97F146-4FCF-5A04-140E-4390FEAFAA73:ID
Name: Lightwave Bucky|26582DC8-43DD-15B6-A31C-739B90302BEA:ID
Name: Random Favorite Skin|ED407BC7-4949-3131-B84F-D6BE83B63A15:ID
Name: Gravitational Uranium Neuroblaster Bucky|0DC9A874-41C5-E582-9A36-37946043346C:ID
Name: Cavalier Bucky|E6EEFED6-4D10-5794-4859-6D9AB5FF1D66:ID
Name: Titanmail Bucky|1ECB1ABC-41A4-F789-39A5-4583F043D688:ID
Name: Standard Bucky|70C97FB2-4D79-D4BB-5173-A1888CD4BFD9:ID
Name: Aerosol Bucky|CF2CC18C-42EC-3FB0-4CA7-3583373A33AB:ID
Name: Frenzy|44D4E95C-4157-0037-81B2-17841BF2E8E3:ID
Name: Task Force 809 Frenzy|1BD0B030-49B3-4733-D6F0-28BCB7ED6DF2:ID
Name: RGX 11z Pro Frenzy|D5EA8AE9-4055-9B65-1F39-ED97372D887A:ID
Name: Xenohunter Frenzy|A4B0CD8B-40DC-41E3-646D-D58802B2E310:ID
Name: RagnaRocker Frenzy|7D05D1CE-4BF2-FA96-D8F4-DCA86052E3D2:ID
Name: Origin Frenzy|CCEB25D7-41E7-1944-515F-2EB5695FD5CC:ID
Name: Glitchpop Frenzy|5596D764-4B62-210B-59DB-7982E9D4C23F:ID
Name: Elderflame Frenzy|4FB9EA7D-45A6-9154-7A46-648781B081C4:ID
Name: Sarmad Frenzy|3FD33106-4816-C257-D27F-2B86C5D76C66:ID
Name: Rush Frenzy|A010C5FC-4343-067D-4DFB-EE836EC0A45F:ID
Name: Venturi Frenzy|5C0965BC-4860-94A3-A133-B29B08F75051:ID
Name: Team Ace Frenzy|5947209B-4864-FB3B-BC48-74A7924E4412:ID
Name: Swooping Frenzy|D6AF3716-4AB5-8204-A2F4-1EB4FFC51088:ID
Name: Horizon Frenzy|17162B11-45FC-5B66-2E49-79AC9D60032C:ID
Name: Monarch Frenzy|B543F6C4-4404-4E5E-1FCF-67A0CD8E9BC4:ID
Name: Hydrodip Frenzy|8256EB2C-4368-9DA8-521F-379C3793DCE1:ID
Name: Prime//2.0 Frenzy|51446541-47DD-B661-470E-9D89B3B6A33B:ID
Name: Couture Frenzy|08BFB08F-48CC-2699-2F5C-AABEC43DD43A:ID
Name: Nunca Olvidados Frenzy|A878B90B-4D32-6E85-D49E-82BFBA69471F:ID
Name: Celestial Frenzy|307DBBC2-442D-B92B-0AF2-278A8505672A:ID
Name: Coalition: Cobra Frenzy|BB46D680-4E05-BACD-6ECD-11895D2F22E7:ID
Name: Moondash Frenzy|87643553-437B-D057-8F06-25B5BD723378:ID
Name: Ion Frenzy|906DCDA9-477A-6D09-F85D-599CCB86E168:ID
Name: Oni Frenzy|7A20502F-45B2-6781-B408-08BC86C5E5E2:ID
Name: Spitfire Frenzy|5BB5ACB1-44DD-184B-484E-319188EF78EB:ID
Name: Aero Frenzy|12E6F520-460B-E69B-0617-BAB9FFF1A134:ID
Name: Divine Swine Frenzy|FA0BB312-4446-A061-9B06-EE88314E07FA:ID
Name: Lightwave Frenzy|F67D4D78-4567-F8CA-010B-18919C49AA05:ID
Name: Sensation Frenzy|531135CC-48CB-68BF-8C99-149E46670C80:ID
Name: Random Favorite Skin|7B82C605-44BB-AAE9-55BF-A4AFEF323553:ID
Name: Titanmail Frenzy|324C837D-4E55-A259-0852-92BC27E724DA:ID
Name: Live Wire Frenzy|F7FC6F86-4599-E131-E392-D6B2DFABD8CB:ID
Name: Standard Frenzy|F06657F3-48B6-6314-7235-A9A2749DF5B9:ID
Name: BlastX Frenzy|79005812-4D5C-CC6D-E2BD-19BC86C29349:ID
Name: Classic|29A0CFAB-485B-F5D5-779A-B59F85E204A8:ID
Name: RGX 11z Pro Classic|111680FD-4562-F658-AF1C-ED8F9CFE9F9C:ID
Name: VALORANT GO! Vol. 2 Classic|B06E13FF-4F19-C750-FFCD-8084DFC3BBF5:ID
Name: Spectrum Classic|46F32F75-4FC8-7121-8A77-DB8DB43AFC67:ID
Name: Pistolinha Classic|34919680-4F00-554B-0C2B-95ACCA7D0D36:ID
Name: Striker Classic|6F6B606F-4D9C-C071-B817-9EA59D5B02D3:ID
Name: Radiant Crisis 001 Classic|A95D08BE-4E56-1189-801B-D9AA4EFE32FA:ID
Name: Red Alert Classic|41FCE834-4C76-A0F4-2CF8-CCA3AE879EAB:ID
Name: Undercity Classic|AC14DCA7-408B-7E8F-8ED0-99B8ED1FFE98:ID
Name: Glitchpop Classic|8B2598EB-4DB9-6338-4A25-C780402C780E:ID
Name: Finesse Classic|3AF7FEF0-48CD-64D3-CEAD-DCB9CD07865A:ID
Name: Surge Classic|6CC70EAE-4297-91D5-ADB9-EFA48004DA77:ID
Name: Songsteel Classic|10354287-40E9-4087-85C5-AEA7289D31F2:ID
Name: Forsaken Classic|C612138E-4007-6D0C-64AD-3690C65EE4A7:ID
Name: Shimmer Classic|9A6D4520-48A6-D46C-5A3F-2AB0B10DD8F6:ID
Name: FIRE/arm Classic|144AC55D-42B9-338C-FB32-C9A31F4DA5BB:ID
Name: Goldwing Classic|1180C78D-4B0D-491E-EFDC-CFA5D948FA27:ID
Name: Prime Classic|D653F4A7-4E92-2559-0A97-2C9D46D009B3:ID
Name: Avalanche Classic|6B6A219D-490A-45F1-1E5C-40BBF3DF5F28:ID
Name: Black.Market Classic|A6B46CEF-4ED2-79E4-D49A-459180CDBD23:ID
Name: Bound Classic|94BC4D7A-4B88-4C84-EFEF-969CDF84019E:ID
Name: Prism III Classic|62ABF8B2-4511-131D-42C9-81A5EFD1B901:ID
